minutes_watched,CLV,region,channel
1745,216.52,0,6
9094,184.37,1,6
843,36,2,7
255,149.99,0,3
4588,174.6,2,7
4307,174.6,2,3
655,149.99,2,6
935,118.63,0,4
2408,149.99,0,1
317,118.32,2,3
927,149.63,0,3
79,149.99,0,2
2250,149.99,0,2
7,62.58,2,1
10865,0,2,3
1398,36,2,4
994,62.58,2,3
3177,146.4,2,6
261,149.99,0,3
234,149.99,1,1
1315,149.99,0,8
393,149.99,0,3
840,149.99,0,6
804,178.83,1,8
2542,119,0,3
0,149.99,2,1
282,138,0,3
2897,179.59,2,1
,150.28,0,6
1506,97.1,0,1
278,269.22,0,1
961,36,2,1
218,36,2,1
32,150.42,0,7
1303,149.99,2,1
350,149.99,0,7
1041,180.93,1,1
19092,149.99,2,8
32,149.98,2,7
18778,149.99,2,2
407,149.99,2,3
325,152.56,0,1
178,149.99,0,3
368,149.99,0,3
92,36,2,6
21,181.87,1,6
1213,57.75,1,3
296,36,2,3
0,36,0,3
3240,146.89,2,3
199,149.99,0,1
137,149.99,0,6
0,149.99,0,1
293,62.58,2,4
143,149.99,0,3
187,62.58,2,3
2104,148.75,1,1
86,150.14,0,3
1488,180.34,1,3
3888,205.54,0,3
457,220.44,2,2
0,149.99,0,8
362,119,0,4
6463,149.99,0,7
83,149.99,2,3
5846,70,2,3
52,149.99,0,2
516,149.99,2,3
1900,179.25,1,3
1240,150.64,0,3
3395,149.99,0,1
2969,149.64,2,4
907,180.69,1,8
4600,238.02,0,6
518,149.99,0,3
559,118.7,0,3
3121,149.99,2,4
30,149.99,2,3
200,62.57,2,3
53,179.12,2,3
767,188.15,1,3
29,150.18,0,1
1266,149.99,2,3
5558,48.6,2,3
42,141.61,1,3
70,149.99,0,8
5,149.99,0,3
235,178.03,1,7
1091,184.44,2,6
615,149.99,0,8
3895,149.99,2,3
48,174.13,0,4
2233,149.99,2,3
492,52.06,2,4
57,178.16,1,3
2246,150.04,0,1
37797,153.2,2,3
53,149.99,0,3
2973,187.04,1,3
599,149.99,2,4
1575,149.57,0,1
429,149.99,2,3
316,182.07,1,1
,149.99,2,3
2539,396.48,1,3
4219,150.32,2,2
4369,149.99,2,3
603,178.46,1,3
2148,178.22,1,1
48,149.99,0,3
1051,75.43,2,1
1240,138,2,3
1647,119.25,2,7
1679,149.75,0,3
173,149.99,0,3
125,149.99,2,3
428,605.99,2,3
62,149.99,0,8
323,149.99,2,3
3038,149.99,0,7
1708,119,2,1
1305,181.24,1,3
84,149.99,0,3
1419,119.39,0,1
121,215.76,2,4
863,78.19,1,2
0,77.3,0,8
4929,265.5,2,3
540,174,0,6
4637,173.39,0,7
736,107.72,2,6
15700,165.3,1,3
15,219.5,1,3
917,184.44,2,3
887,220.75,2,4
53,62.58,2,3
2739,208.02,1,2
1870,199.92,2,3
47,174,0,1
448,174,0,3
560,156,2,3
189,211.49,1,2
3884,174.14,2,3
211,63.63,2,5
991,174,0,3
2937,64.8,2,7
1340,36,2,3
0,97,2,7
1549,167.97,0,3
399,174,0,3
120,27,0,3
129,184.55,0,7
4659,36,2,5
1112,36,0,1
109,174,0,3
94,62.58,2,4
3103,214.36,1,3
83,61.88,1,1
164,284.56,1,6
377,36,0,3
95,174,2,3
17873,78.23,2,8
1713,91.5,2,3
1331,91.5,2,3
7215,64.8,0,3
203,119,0,4
922,36,2,1
54,138.65,2,6
4,386,1,6
5660,286.81,1,3
6380,172.78,2,3
654,149.76,0,7
2053,62.58,2,4
1269,27,2,4
1360,62.58,2,7
28,146.58,2,6
10245,91.5,2,4
1399,174,2,4
373,174,0,3
340,49.5,2,4
7356,119,2,8
375,62.58,2,3
1494,19,2,4
45,164.88,1,3
974,63.63,2,1
11157,174,2,1
3116,184.3,0,4
2514,215.76,0,7
1585,184.44,0,3
569,36,0,1
2314,62.58,2,1
1154,34.2,2,7
282,19,2,8
528,14.25,2,7
277,49.5,2,8
195,184.44,0,3
14615,59.04,0,3
3938,205.84,2,6
175,42.68,2,4
10,174.51,0,6
821,62.58,2,3
0,172.78,2,8
41,49.41,0,8
1078,240.22,1,6
490,230.23,2,3
1902,119,0,3
141,119,0,3
2131,96.99,2,4
26141,221.97,1,7
0,49.53,0,8
671,35.92,0,1
219,62.57,2,1
8952,142.4,2,3
3437,48.6,2,3
234,19,2,3
15,91.5,0,8
508,119,0,8
359,62.58,2,4
474,19,2,7
21954,292.95,1,3
84,37.98,1,7
1733,209.71,1,2
938,129.6,0,4
277,74.47,1,7
11,118.38,0,4
418,142.65,0,3
2932,198.18,1,3
8075,119,2,7
830,174,0,3
269,182.51,1,6
3370,72.18,0,3
0,0,1,2
74,174,0,3
1441,62.58,2,1
709,32.75,1,1
384,223.5,0,7
4875,62.58,2,4
1999,91.96,0,1
136,170.5,0,3
140,147.86,2,3
42,121,0,3
850,178.49,1,3
2315,146.55,2,2
88,184.44,0,3
371,174,2,3
1653,174,2,8
675,173.08,0,3
272,174,0,3
1968,220.34,1,3
96,199.49,0,4
177,174,0,1
944,19,2,1
325,64.8,0,3
15,121,0,6
576,146.92,1,3
207,174,0,3
443,62.58,2,8
2029,38.06,2,3
209,184.44,0,3
1521,348,2,3
178,137.38,0,3
874,150.54,0,6
557,14.25,2,3
557,174,0,1
7050,303.44,0,3
570,91.5,2,4
6812,154.88,0,3
1017,81.36,0,3
1260,118.95,2,4
784,36,0,1
531,64.8,0,8
15053,148.41,0,8
295,119,0,8
384,91.5,2,3
62,160,0,3
359,118.9,0,1
985,118.58,2,7
192,19,2,3
1116,64.8,0,4
122,119,0,1
15413,36,2,7
11954,36,2,4
253,32.52,1,1
1027,119.32,2,3
474,119,0,1
233,77.31,2,1
328,97,2,3
134,119,0,1
947,142.51,2,1
488,164.54,1,1
1049,119.34,0,3
2301,119.06,0,2
8793,123.65,0,1
311,119.11,1,3
13,118.96,0,1
182,184.44,0,3
89,62.58,2,3
607,62.57,2,1
17137,176.03,2,7
130,62.58,2,4
1004,62.58,1,4
133,143.52,1,4
1111,118.31,0,4
2761,62.58,2,4
2295,36,0,3
296,119.38,2,4
2598,89.29,2,4
1362,62.58,2,4
0,119.01,0,4
1147,141.51,2,4
105,119.26,0,4
670,62.57,2,4
0,62.57,2,4
603,149.99,2,4
166,179.34,1,6
7,142.82,1,4
86,62.58,2,4
81,62.58,2,6
348,119,0,4
84,138,2,4
2589,119,2,4
310,62.58,2,4
,62.58,2,6
235,156,2,4
11429,36,0,4
23,119,0,4
78,62.58,2,7
2087,119,0,4
511,149.99,2,5
2201,91.8,2,7
1027,62.58,2,4
449,119,0,4
4900,148.69,1,4
112,62.58,2,4
299,119,2,4
2038,218,2,4
198,119,2,7
905,144.18,2,4
54,119,2,4
49,62.58,0,4
914,144.72,1,6
2720,91.5,2,1
2221,119,0,4
2345,119,0,4
1047,62.58,2,4
1103,155,2,7
1301,119,0,4
26,62.58,2,7
0,119,2,2
179,62.58,2,7
38,72.57,2,4
15,62.58,2,7
731,119,1,3
929,145.17,1,4
551,62.58,2,5
36,119,2,4
72,62.58,2,4
303,119,0,3
82,62.58,2,3
340,118.84,0,3
4329,119,2,4
421,78.88,2,4
819,119,2,4
856,218,2,4
70,75.2,2,4
709,119,2,3
12,78.88,2,4
2898,90,2,4
1903,63.63,2,7
10302,62.58,2,4
89,119,2,4
474,119,2,4
275,62.58,2,6
137,36,2,4
886,62.58,2,3
2640,129.78,2,4
354,163.37,0,1
699,206.18,1,1
417,151,0,3
1038,14.25,2,3
5704,62.58,2,3
135,141.23,1,7
0,119,2,2
6802,36,0,4
3806,142.03,1,7
1434,119.05,0,3
808,62.58,2,1
69,119,2,4
264,151.41,0,4
10,151,2,4
35,77.3,2,3
98,142.05,1,4
218,118.55,0,4
24860,151.03,2,8
402,119,2,4
4378,348,0,8
859,144.45,1,3
168,119,2,6
713,149.99,1,4
1462,62.58,2,4
188,62.58,2,2
153,137.99,0,1
1181,62.58,2,3
2108,64.8,0,8
192,119,0,1
2902,119,0,3
318,62.58,2,4
72,63.63,2,2
329,19,2,7
529,78.87,2,4
78,121,2,4
1056,119,0,4
466,138.77,0,3
569,119,0,4
923,143.19,1,3
1032,145.76,2,6
13059,119,2,3
1860,118.72,0,3
1215,149.99,2,2
0,119.01,0,4
3941,19,2,4
197,119,0,3
1419,62.58,2,4
559,34.2,2,4
202,119,2,4
479,62.58,2,7
0,118.61,0,3
37,119,2,4
574,119,2,4
888,62.58,2,4
27,119,0,4
379,119,2,7
680,119,0,3
806,62.58,2,4
9,119,0,3
476,119,0,4
807,119,0,4
431,62.58,2,4
1211,119,0,3
155,119,0,3
683,138,0,4
284,119,0,1
654,62.58,2,4
1269,151.03,2,8
,138,2,3
3541,27,2,1
814,62.58,2,4
1233,119,0,3
189,119,2,4
50,119.57,0,7
96,62.58,2,8
2440,62.58,2,4
635,68.36,2,4
1484,119,2,4
973,119,0,8
852,36,0,8
1838,72.27,1,8
152,62.58,2,4
222,173.63,1,1
123,27,0,3
1634,147,2,8
167,63.63,2,4
1673,56.79,2,1
59,91.5,2,3
448,62.58,2,1
7029,160.03,2,2
1121,91.5,2,4
180,62.57,2,4
248,144.47,1,1
515,56.72,2,4
56,62.58,2,4
4078,90.86,2,4
965,119,2,1
110,119.53,2,3
2544,36,2,1
1443,150.32,0,4
,36,0,6
6671,299.75,1,4
3654,211.8,2,7
1470,119,0,4
603,62.58,2,5
425,62.58,2,7
491,119.02,2,7
98,141.77,1,4
30357,40.85,2,7
215,62.58,0,4
886,119,2,4
353,182.78,1,7
832,62.58,2,4
831,62.58,2,4
3318,174.95,2,6
5792,42.12,2,4
218,62.58,2,7
265,121,0,6
6037,119,2,3
560,118.46,0,1
1525,119,2,4
387,167.67,1,3
1219,118.8,0,4
246,62.58,2,4
1438,62.58,2,2
269,119,0,8
3535,17.1,2,1
378,186.13,2,6
6783,122.67,0,8
118,119,0,1
991,118.58,0,3
38,141.64,1,5
6432,62.58,2,5
5896,119,2,8
17997,118.88,2,3
44,62.58,2,4
399,156,2,7
2,0,2,2
437,118.65,0,7
434,77.3,2,5
101,62.58,2,3
40,143,2,4
445,164,2,3
909,143,0,8
419,142.45,2,4
368,119,2,4
651,119,0,4
10442,62.58,2,2
2140,62.58,2,7
177,62.58,2,1
277,72.57,2,7
4396,119,0,3
373,118.42,2,4
5,142.36,1,8
1717,62.58,2,2
104,141.19,1,5
86,142.84,1,4
563,119,0,3
3784,34.2,2,2
756,35.84,1,3
159,119,2,5
1593,75.2,2,4
325,119,0,4
10466,151.03,2,4
616,25.2,0,4
648,119,2,2
2751,148.78,2,2
1056,62.58,2,6
481,141.17,2,7
8620,48.6,0,3
0,62.58,1,1
1060,62.58,2,3
376,96.99,2,7
689,25.5,2,5
615,14.25,2,7
309,119,0,6
3436,31.16,2,2
682,75.2,2,7
585,62.58,2,1
222,62.58,2,7
38,62.58,2,2
388,145.45,1,4
2204,62.58,0,6
163,131.81,0,7
559,17.1,2,2
1007,62.58,2,3
508,164,2,7
227,62.58,2,3
654,62.58,2,1
166,130,2,4
12040,113.58,2,1
89,62.58,2,4
399,62.58,2,2
638,263,0,8
6230,64.8,2,4
746,19,2,7
1574,62.58,2,4
1545,119,0,1
748,119,2,4
125,142.69,1,1
1756,119,0,7
884,180.2,0,4
7964,62.58,2,8
65,149.51,2,8
32,62.58,2,5
301,148.14,1,4
400,119,2,6
4222,63.63,2,4
952,62.58,2,8
106,148.32,1,1
34,8,2,4
782,63.63,2,2
553,62.58,1,1
423,119,0,3
646,62.58,2,2
297,62.58,2,1
189,62.58,2,2
2604,62.58,2,8
1205,142.87,1,3
1154,119.07,0,2
1164,62.58,2,2
,82.04,2,4
4,119,0,3
51,149.83,0,8
50463,412.87,0,1
909,62.58,2,2
2274,36,0,2
3173,62.58,2,4
23522,222.75,2,4
7500,119,0,3
60,119,0,1
2610,389.51,0,1
1404,62.58,2,3
660,62.58,2,3
1622,121,2,4
7320,33.25,2,8
1229,184.44,0,7
223,62.58,2,4
319,119,2,7
3913,359,0,1
498,62.52,2,4
8617,34.2,2,5
39971,119,0,3
2450,19,2,6
8676,119,2,4
1043,62.58,2,2
1575,118.9,0,4
1031,119,0,3
1759,119,0,3
945,62.58,2,1
463,64.8,2,3
1931,75.2,2,4
,119.27,0,8
242,118.9,0,7
137,118.97,0,4
574,62.58,2,2
4372,62.58,2,8
494,1,2,7
3729,62.58,2,2
284,119,2,7
2019,34.2,2,4
816,62.57,2,4
672,119,0,4
331,119.1,0,8
30,119,2,4
691,62.58,2,4
287,119,2,4
326,62.58,2,4
2513,62.58,2,7
1512,19,2,6
237,62.58,2,2
1187,62.58,2,7
4718,62.58,2,3
0,63.63,2,7
5408,45.9,0,6
324,119,2,7
5426,48.6,2,8
175,145.2,1,1
109109,543.02,0,8
1170,62.58,2,3
152,142.14,1,8
987,119,2,7
465,119,2,3
5522,82.63,2,1
454,142.82,1,3
108,62.58,2,4
72,62.58,2,2
1306,194.36,0,5
3106,62.58,2,6
136,62.58,2,4
1148,118.66,0,2
211,27,0,4
1876,174.17,0,1
2096,119,2,4
330,119,0,4
5337,50.06,2,4
312,119,2,1
2386,75.19,2,3
2601,293,0,4
534,36.1,0,4
2313,62.58,2,4
9,119,0,4
109,119,0,1
3959,62.58,2,7
1925,62.58,2,4
976,138.16,2,4
1584,62.58,2,2
13,137.98,2,4
16,62.57,2,4
171,79.41,2,4
3380,43.89,1,4
1254,143.53,1,4
395,183,2,7
2838,145.91,1,4
3385,119,2,4
797,118.38,0,4
622,62.57,2,3
5140,119,2,4
2501,119,2,4
1729,144.45,1,2
5825,62.58,2,4
114,119,0,7
8802,80.37,2,4
345,36,2,5
495,62.57,2,6
10510,91.37,2,7
280,62.58,2,3
1411,159.54,2,4
392,118.66,2,7
1288,119,2,1
5331,142.06,2,8
1464,148.83,1,6
154,143.95,1,4
210,119,2,4
203,78.87,2,7
798,141,1,1
821,119,0,7
972,62.57,2,3
,119,0,8
180,147.12,1,1
2008,119.24,2,1
2836,119.32,2,1
62,118.97,0,3
998,72.57,2,4
29,119,2,2
1701,62.58,2,5
2828,340.25,2,3
222,62.58,2,1
2561,119.34,0,4
3598,119.35,0,4
188,62.58,2,3
351,91.5,2,1
1950,119,2,1
269,62.58,2,4
4385,119.9,0,4
151,62.58,2,4
1049,62.58,2,4
446,64.8,2,1
290,63.63,2,1
1150,137.98,0,8
645,119.08,2,7
157,120,0,4
368,119,2,7
5580,146.92,1,4
1143,91.5,2,4
26961,144.08,1,4
167,119,0,4
1680,9.5,2,8
327,119,0,5
104,142.36,1,4
20889,23.37,2,1
3054,144.87,1,4
406,142.82,1,4
8065,119,2,3
52,147,0,5
413,119,0,3
1357,119,2,7
308,119,2,5
1657,119,0,7
1784,144.96,1,4
1055,62.58,2,4
676,119,2,4
1309,36,2,6
1102,119,0,3
2921,48.6,2,5
3838,62.58,0,7
2919,119,2,3
201,99.01,0,2
2403,119,0,4
142,119,0,4
753,173.57,0,3
5819,46.36,2,1
120,119,0,2
2809,119,2,7
131,119,2,1
47,119,0,4
2333,62.58,2,8
106,72.57,2,4
,84.14,2,1
7,62.58,2,4
1860,62.58,2,4
189,119,0,4
300,119,0,3
815,62.58,2,5
420,62.58,2,2
509,19,2,4
21,149.99,2,4
0,121,0,2
95,119,0,4
3915,240,0,3
126,62.58,2,2
345,62.58,2,2
4118,119,0,1
6767,144.43,2,4
118,62.58,2,1
24,164,0,8
519,119,0,3
14289,14.25,2,1
528,119,2,7
261,78.87,2,4
15,63.63,2,2
4017,62.58,2,3
407,36,2,7
713,143,0,8
756,62.58,2,2
1666,25.65,1,4
7625,62.58,2,4
628,36,2,7
837,119,1,7
3,62.57,2,4
1494,62.58,0,8
78,119,1,4
189,174,2,7
137,62.57,2,3
2220,146.56,1,3
1557,180.91,1,1
518,62.58,2,7
1933,310.99,1,4
8201,19,2,3
5221,62.58,2,6
1723,142.22,2,1
409,62.58,2,4
73258,62.58,2,4
529,119,2,4
192,63.63,2,2
2235,119,2,4
6127,174,2,8
138,91.5,2,1
542,19,2,7
988,119,0,1
5905,119,0,8
248,119.34,0,3
352,119,2,4
104,118.43,0,3
664,119.02,2,4
10700,34.2,2,7
46,119,0,4
3245,72.57,2,1
326,62.57,2,7
2388,62.58,2,5
626,119,0,8
296,119,0,4
,119.23,0,4
3146,62.58,2,1
156,62.58,2,5
7208,143.85,0,4
544,62.75,2,4
695,119,2,7
6522,118.78,0,4
1024,70.24,0,7
1120,237.32,2,7
1095,62.58,2,6
3976,62.58,2,2
4037,138.55,1,4
156,348,2,6
440,201.73,2,7
138,62.58,2,5
2317,59.04,0,3
731,389.48,0,8
85,62.63,2,2
9535,62.58,2,2
345,119,0,8
579,119,0,4
471,149.99,0,2
377,119,2,7
386,119,0,1
393,91.5,2,8
1936,208.8,1,4
1940,143.99,1,2
227,27,0,7
4828,111.62,1,7
171,142.14,1,3
297,119,0,4
1278,62.58,2,7
1228,147,2,2
101,118.64,0,4
135,62.58,2,5
262,119,2,1
148,86.24,2,2
411,62.58,2,5
29,119,0,6
669,119,0,3
279,119.27,2,4
329,62.58,2,5
288508,34.2,2,2
207,62.58,2,2
8349,119.09,0,8
1,119,0,3
107,62.58,2,2
350,62.58,2,5
1591,64.8,1,7
786,155.2,0,6
260,62.58,2,7
607,119,2,5
80,119,2,7
194,62.58,2,4
2849,229.66,2,2
2891,101.02,2,6
53,119,2,4
615,82.04,2,7
52,119,0,2
3635,119,0,3
1882,62.58,2,6
198,119,0,4
109,62.58,2,4
38,119,0,5
1453,62.58,2,2
933,141.64,1,4
979,36,2,4
899,145.72,1,8
784,174,0,1
454,91.5,2,3
1289,42.8,1,2
972,27,2,7
1836,144.01,1,3
1242,118.32,2,1
235,118.88,0,1
976,84.14,2,2
419,62.58,2,1
106,62.58,2,4
1,62.57,2,4
1,62.58,1,4
2247,143.53,1,2
1186,9.5,0,2
879,143.52,2,3
1074,147.58,1,6
605,62.58,2,2
970,36,0,3
795,62.58,2,1
1636,119.02,1,6
7413,62.58,2,4
1806,64.8,2,6
237,62.58,2,4
22621,151.3,0,8
68,144.47,1,3
325,62.58,2,7
35,150.78,0,1
12126,62.58,2,7
941,27,2,4
386,119,2,7
738,119.38,0,3
8312,119.36,0,3
1235,142.14,1,4
2134,62.58,2,7
80,118.73,0,2
568,196.81,2,3
678,113.46,2,4
6008,185.99,2,4
506,187.32,1,2
12,119.02,0,4
2880,62.58,2,2
47,119,0,3
2401,314.26,1,1
515,78.87,2,4
1703,119,2,8
37,118.66,0,8
1224,62.58,2,2
843,25.65,2,2
649,240,2,3
210,119,2,8
844,36,2,2
310,197.97,0,4
551,133.04,2,2
264,119,0,4
8,118.52,0,5
2606,119,2,1
60628,30.6,2,2
679,36,0,2
875,118.48,0,2
162,62.58,2,2
469,62.58,2,4
